,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,42000.0,3597.0,18003.0,1199.0,12000.0,0.0,0.0,0.0,1.0,7800.0,47.0,"Sudikoff Hall,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,0,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0",29230.0,5291.0,51.0,942.9032258064516,1326.769016692775,146.5,433.0,778.5,31.0,1.0,3593.0,2406.0,1187.0,1796.5,861.9631662664015,1491.75,1796.5,2101.25,2.0,2.5
01:05:2013,51599.0,0.0,5999.0,1200.0,27402.0,0.0,0.0,2.0,1.0,7800.0,47.0,"Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Hopkins Center for the Arts,New Hampshire Hall",23216.0,3944.0,51.0,682.8235294117648,789.7951199841652,186.25,524.5,766.75,34.0,,1206.0,1206.0,1206.0,1206.0,,1206.0,1206.0,1206.0,1.0,
02:04:2013,45600.0,0.0,21597.0,13202.0,4801.0,0.0,0.0,1.0,0.0,0.0,47.0,"Haldeman Center,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,New Hampshire Hall,Berry Sports Center,Berry Sports Center,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library",36672.0,2593.0,50.0,601.1803278688525,646.4720800415314,141.0,343.0,837.0,61.0,1.0,1124.0,1124.0,1124.0,1124.0,,1124.0,1124.0,1124.0,1.0,2.0
02:05:2013,44399.0,15600.0,19127.0,2400.0,10883.0,1301.0,0.0,3.0,1.0,7800.0,47.0,"New Hampshire Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Baker Memorial Library,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,0,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,0,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Baker Memorial Library",32128.0,7252.0,51.0,1107.8620689655172,1475.9975494592975,373.0,555.0,1018.0,29.0,1.0,3679.0,1278.0,1200.0,1226.3333333333333,44.74743940532612,1200.5,1201.0,1239.5,3.0,1.0
03:04:2013,53392.0,0.0,15605.0,13802.0,2400.0,1201.0,0.0,2.0,0.0,7800.0,47.0,"Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Zahm Courtyard,Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Haldeman Center",46408.0,5205.0,40.0,565.9512195121952,892.6570395082758,111.0,262.5,582.5,82.0,2.0,2386.0,1193.0,1193.0,1193.0,0.0,1193.0,1193.0,1193.0,2.0,4.0
03:05:2013,36000.0,0.0,8400.0,25200.0,12000.0,7200.0,0.0,4.0,0.0,6000.0,47.0,"Baker Memorial Library,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sudikoff Hall",43495.0,4768.0,40.0,572.3026315789474,902.0087659549928,148.5,302.5,496.5,76.0,,1181.0,1181.0,1181.0,1181.0,,1181.0,1181.0,1181.0,1.0,
04:04:2013,52800.0,3600.0,8399.0,3600.0,16801.0,1200.0,0.0,3.0,1.0,7800.0,47.0,"Haldeman Center,Haldeman Center,Sudikoff Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,0,0,0,0,Dartmouth College,Berry Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",34988.0,8432.0,41.0,1249.571428571429,2080.607433180342,138.5,433.5,1185.75,28.0,0.0,2397.0,1200.0,1197.0,1198.5,2.1213203435596424,1197.75,1198.5,1199.25,2.0,3.0
04:05:2013,49566.0,0.0,2502.0,1200.0,19200.0,2298.0,0.0,5.0,0.0,0.0,47.0,"Sudikoff Hall,East Wheelock Street,Black Family Visual Arts Center,0,Sushiya,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College",34503.0,6789.0,71.0,1078.21875,1364.2263962708896,194.25,609.5,1455.5,32.0,,8510.0,2401.0,1199.0,1418.3333333333333,483.4222446957387,1200.0,1200.0,1282.5,6.0,
05:04:2013,37200.0,0.0,19200.0,7197.0,22803.0,0.0,0.0,4.0,0.0,6000.0,47.0,"Dartmouth College,Hood Museum of Art,New Hampshire Hall,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Reed Hall,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Baker Memorial Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Baker Memorial Library,Baker Memorial Library,0,0",40708.0,3954.0,70.0,848.0833333333334,1107.7738042662138,138.5,282.0,1089.25,48.0,1.0,3605.0,1205.0,1200.0,1201.6666666666667,2.886751345948129,1200.0,1200.0,1202.5,3.0,2.0
05:05:2013,40800.0,0.0,1200.0,0.0,50400.0,0.0,0.0,-1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity",35081.0,3925.0,60.0,855.6341463414634,979.479600504716,191.0,505.0,958.0,41.0,,7159.0,2399.0,1202.0,1789.75,677.2047327064394,1204.25,1779.0,2364.5,4.0,
