,level,resp_time,time
0,4.0,2013-03-31 14:10:08,1364713808.0
1,4.0,2013-04-03 08:38:59,1364953139.0
8,4.0,2013-03-30 12:01:36,1364619696.0
9,5.0,2013-03-31 04:07:52,1364677672.0
10,2.0,2013-03-27 05:43:32,1364337812.0
11,4.0,2013-03-29 02:31:11,1364499071.0
12,4.0,2013-03-27 10:16:30,1364354190.0
13,4.0,2013-03-28 00:13:48,1364404428.0
14,1.0,2013-03-27 22:39:30,1364398770.0
15,1.0,2013-03-27 11:17:42,1364357862.0
16,1.0,2013-03-27 19:18:05,1364386685.0
17,1.0,2013-03-28 10:36:03,1364441763.0
18,1.0,2013-03-28 20:04:50,1364475890.0
19,4.0,2013-03-28 06:11:35,1364425895.0
20,4.0,2013-03-29 07:59:23,1364518763.0
21,1.0,2013-03-29 04:20:05,1364505605.0
22,4.0,2013-03-29 01:37:13,1364495833.0
23,4.0,2013-03-29 06:27:18,1364513238.0
24,1.0,2013-03-29 01:29:33,1364495373.0
25,1.0,2013-03-29 05:17:14,1364509034.0
26,1.0,2013-03-29 01:29:05,1364495345.0
27,1.0,2013-03-29 19:05:55,1364558755.0
28,4.0,2013-03-29 22:02:38,1364569358.0
29,4.0,2013-03-30 00:25:52,1364577952.0
30,5.0,2013-04-01 08:58:21,1364781501.0
31,5.0,2013-03-30 05:36:08,1364596568.0
32,4.0,2013-03-31 09:08:35,1364695715.0
33,1.0,2013-03-31 11:55:20,1364705720.0
34,5.0,2013-03-31 04:07:50,1364677670.0
35,4.0,2013-03-31 23:37:24,1364747844.0
36,4.0,2013-04-01 00:50:02,1364752202.0
37,4.0,2013-04-01 06:51:17,1364773877.0
38,4.0,2013-04-03 12:12:46,1364965966.0
39,4.0,2013-04-04 03:52:26,1365022346.0
40,4.0,2013-04-03 19:57:15,1364993835.0
41,4.0,2013-04-04 15:18:25,1365063505.0
42,5.0,2013-04-05 10:22:12,1365132132.0
43,4.0,2013-04-09 00:50:28,1365443428.0
44,4.0,2013-04-11 11:32:21,1365654741.0
45,1.0,2013-04-12 04:44:01,1365716641.0
46,1.0,2013-04-11 21:10:01,1365689401.0
47,4.0,2013-04-11 22:04:43,1365692683.0
48,4.0,2013-04-13 00:11:31,1365786691.0
49,4.0,2013-04-17 05:38:42,1366151922.0
50,4.0,2013-04-14 00:23:40,1365873820.0
51,2.0,2013-04-15 22:00:40,1366038040.0
52,1.0,2013-04-16 06:00:13,1366066813.0
53,4.0,2013-04-17 10:10:25,1366168225.0
54,4.0,2013-04-18 12:44:37,1366263877.0
55,4.0,2013-04-18 02:34:21,1366227261.0
56,4.0,2013-04-20 07:05:40,1366416340.0
57,4.0,2013-04-23 13:28:57,1366698537.0
58,5.0,2013-04-23 23:32:16,1366734736.0
