date,home_time,recreational_activities,travel_time,school_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,40799.0,7201.0,40800.0,0.0,0.0,0,1.0,3900.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Life Sciences Greenhouse,Dana Circle Parking Lot,Hopkins Center for the Arts,Lodge Parking Lot",1.0
01:05:2013,1240008.0,0.0,0.0,0.0,0.0,2,1.0,17100.0,26,The Lodge,
02:04:2013,37197.0,12003.0,0.0,3600.0,0.0,1,1.0,13200.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall",2.0
03:04:2013,47042.0,14399.0,16801.0,8400.0,0.0,2,1.0,17100.0,26,"Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,The Lodge,Lodge Parking Lot,Hopkins Center for the Arts,Moore Psychology Building",2.5
04:04:2013,27601.0,48827.0,0.0,8400.0,1200.0,3,0.0,9900.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Four Seasons | Sotheby's,The Lodge,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall,Brace Commons,Alumni Gymnasium,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",4.0
05:04:2013,13197.0,12000.0,50610.0,10803.0,0.0,4,0.0,3000.0,26,"Hopkins Center for the Arts,The Lodge,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Moore Psychology Building",1.0
06:04:2013,73195.0,13201.0,2402.0,2402.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Dartmouth College,Alumni Gymnasium,Moore Psychology Building,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,The Lodge,Dartmouth College,Dartmouth College,Lodge Parking Lot,Dartmouth College,Berry Library,Berry Library,Dartmouth College",4.0
07:04:2013,104407.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,26,"Lodge Parking Lot,Dartmouth College",
08:04:2013,46545.0,1200.0,9590.0,6001.0,0.0,0,0.0,3900.0,26,"Hopkins Center for the Arts,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Carpenter Hall,Dartmouth College,Sudikoff Hall,Moore Psychology Building",
09:04:2013,40799.0,35693.0,12000.0,4802.0,0.0,1,1.0,13200.0,26,"Moore Psychology Building,Baker Memorial Library,Dartmouth College,Berry Library,Alumni Gymnasium,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alumni Gymnasium",3.0
