date,home_time,school_time,recreational_activities,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,2400.0,15600.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B",
01:05:2013,7245.0,64800.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,House Center B,House Center B,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Reed Hall,House Center B",3.0
02:04:2013,0.0,90000.0,6000.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B,House Center B,Hopkins Center for the Arts,House Center B",
02:05:2013,3496.0,72117.0,3640.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Sanborn House",3.0
03:04:2013,5988.0,63612.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"Kemeny Hall,Sudikoff Hall,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hallgarten Hall,Hallgarten Hall",
03:05:2013,7238.0,77928.0,2434.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,"House Center B,Streeter Hall,House Center B,Wentworth Hall,Wentworth Hall,Dartmouth College,Guarini Institute for International Education,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts",
04:04:2013,15600.0,63600.0,7200.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Sudikoff Hall,Dartmouth College,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",
04:05:2013,0.0,178994.0,1101.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Hopkins Center for the Arts,House Center B",3.0
05:04:2013,0.0,82800.0,0.0,3600.0,0.0,0.0,4.0,0.0,6000.0,18.0,"0,House Center B,Sudikoff Hall,Sudikoff Hall,House Center B,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Kemeny Hall",
06:04:2013,0.0,86401.0,0.0,4799.0,0.0,0.0,5.0,0.0,0.0,18.0,"House Center B,Sudikoff Hall,House Center B,House Center B,Mass Parking Lot,House Center B,Sudikoff Hall",
