date,home_time,school_time,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,87601.0,4799.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,"0,0,Dartmouth College,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",
02:04:2013,105600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,"0,0,Dartmouth College",
03:04:2013,44400.0,0.0,1200.0,0.0,0.0,2.0,0.0,0.0,51.0,"Vail Dartmouth Medical School,0",2.0
04:04:2013,80400.0,3600.0,0.0,0.0,0.0,3.0,0.0,0.0,51.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",1.0
05:04:2013,84000.0,4800.0,0.0,0.0,0.0,4.0,0.0,0.0,51.0,"Dartmouth College,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",1.0
06:04:2013,100801.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,51.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0",2.5
07:04:2013,94799.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,51.0,"Dartmouth College,0",
08:04:2013,58800.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,"Dartmouth College,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",1.0
09:04:2013,86400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0",1.0
10:04:2013,86400.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,51.0,"Dartmouth College,0",
11:04:2013,84000.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,51.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",1.0
11:05:2013,259471.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,51.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
12:04:2013,88801.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,51.0,"Dartmouth College,0",
13:04:2013,94801.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,51.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0",
14:04:2013,124799.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,51.0,Dartmouth College,1.0
14:05:2013,5401.0,0.0,0.0,1199.0,0.0,1.0,0.0,0.0,51.0,"Life Sciences Greenhouse,Nugget Arcade,Dartmouth College",
15:04:2013,38400.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,"Anonymous Hall,0",1.0
16:04:2013,105601.0,0.0,1199.0,0.0,0.0,1.0,0.0,0.0,51.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,0,Dartmouth College",1.6666666666666667
17:04:2013,108000.0,2400.0,0.0,0.0,0.0,2.0,0.0,0.0,51.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",1.5
18:04:2013,38400.0,0.0,1200.0,0.0,0.0,3.0,0.0,0.0,51.0,"0,0,Life Sciences Greenhouse,Life Sciences Greenhouse",1.5
19:04:2013,127174.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,51.0,"Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0,0,Dartmouth College",
20:04:2013,46826.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,51.0,0,1.0
21:04:2013,178178.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,51.0,"0,Dartmouth College,0",
23:04:2013,102001.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,"Dartmouth College,0,Dartmouth College",1.0
24:04:2013,58800.0,7200.0,0.0,0.0,0.0,2.0,0.0,0.0,51.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,0",
25:04:2013,260651.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,51.0,"Dartmouth College,0",
28:04:2013,1120436.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,51.0,"Dartmouth College,0,0,0,0,Dartmouth College",
30:03:2013,90824.0,0.0,3600.0,0.0,3598.0,5.0,0.0,0.0,51.0,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Roberts Flowers of Hanover,Hanover Park Northbound,Dartmouth College",
31:03:2013,84001.0,2398.0,0.0,0.0,3600.0,-1.0,0.0,0.0,51.0,"0,Anonymous Hall,Hanover Park,Dartmouth College",1.0
