date,home_time,orthers,school_time,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,9601.0,32400.0,44399.0,0.0,0.0,0.0,0,0.0,10500.0,15,"Wheeler Hall,Thel,Thel,Thel,Wilder Hall,Sherman House,Thel,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Dartmouth College,Dartmouth College",2.0
01:05:2013,43198.0,0.0,23996.0,2400.0,20406.0,0.0,2,0.0,3900.0,15,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Moore Psychology Building,Winfred-Raven House,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Hood Museum of Art,Wheeler Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Wheeler Hall,Sudikoff Hall",
02:04:2013,12000.0,45600.0,16800.0,1198.0,9602.0,0.0,1,0.0,0.0,15,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library,Sigma Alpha Epsilon Fraternity,Rollins Chapel,Wheeler Hall,Robinson Hall,Thel,Thel,Sigma Alpha Epsilon Fraternity,Thel,Sudikoff Hall,Sudikoff Hall",
02:05:2013,64800.0,0.0,9600.0,1200.0,8400.0,0.0,3,0.0,10500.0,15,"Dartmouth College,Winfred-Raven House,Winfred-Raven House,Wheeler Hall,Wheeler Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Wheeler Hall",
03:04:2013,24000.0,26400.0,14400.0,4800.0,16800.0,0.0,2,0.0,3900.0,15,"Dartmouth College,Dartmouth College,Winfred-Raven House,Dartmouth College,Dartmouth College,Sherman House,Sherman House,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Thel,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Thel,Dartmouth College",2.0
03:05:2013,44405.0,0.0,40799.0,6000.0,10800.0,1196.0,4,0.0,3000.0,15,"Wheeler Hall,Winfred-Raven House,Sudikoff Hall,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Dartmouth College,Sudikoff Hall",
04:04:2013,19200.0,36000.0,8401.0,3600.0,20400.0,0.0,3,0.0,10500.0,15,"Dartmouth College,Dartmouth College,Winfred-Raven House,Winfred-Raven House,Thel,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Thel,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",2.0
04:05:2013,13195.0,2400.0,2400.0,0.0,51605.0,0.0,5,0.0,0.0,15,"Wheeler Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Rollins Chapel,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wilder Hall",
05:04:2013,33646.0,29953.0,14401.0,2399.0,10800.0,4800.0,4,0.0,3000.0,15,"Black Family Visual Arts Center,Hood Museum of Art,Winfred-Raven House,Anonymous Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Richardson Hall,Wheeler Hall,Wheeler Hall,Thel,Wheeler Hall,Thel,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Thel,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College",2.0
05:05:2013,57600.0,9600.0,19200.0,2400.0,13200.0,0.0,-1,0.0,0.0,15,"Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Rollins Chapel,Thel,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Thel,Rollins Chapel,Rollins Chapel,Hood Museum of Art,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Dartmouth College,Sudikoff Hall",
06:04:2013,17999.0,30001.0,0.0,0.0,31200.0,0.0,5,0.0,0.0,15,"Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Kappa Pi Kappa,Kappa Pi Kappa,Thel,Dartmouth College",2.0
06:05:2013,38402.0,0.0,30000.0,2398.0,0.0,1200.0,0,0.0,10500.0,15,"Zahm Courtyard,Sudikoff Hall,Wheeler Hall,Alumni Gymnasium,Alumni Gymnasium,Wheeler Hall,Wheeler Hall,Life Sciences Greenhouse,Sudikoff Hall",
07:04:2013,15600.0,44400.0,0.0,1200.0,26400.0,0.0,-1,0.0,0.0,15,"Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,0,Thel,Sigma Alpha Epsilon Fraternity,Thel,Thel,Thel,Thel,Sigma Alpha Epsilon Fraternity,Thel,Dartmouth College,Dartmouth College",
07:05:2013,55206.0,0.0,8400.0,0.0,14395.0,5999.0,1,0.0,0.0,15,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Kemeny Hall,Native American House Parking Lot,Sudikoff Hall,Dartmouth College,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Wheeler Hall",
08:04:2013,9602.0,38400.0,4800.0,3599.0,25200.0,0.0,0,1.0,10500.0,15,"Wheeler Hall,Wheeler Hall,Starbucks,Thel,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Thel,Sigma Alpha Epsilon Fraternity,Thel,Thel,Wheeler Hall,Thel,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College",2.0
08:05:2013,67197.0,0.0,0.0,18863.0,3600.0,0.0,2,1.0,3900.0,15,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Wheeler Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",3.0
09:04:2013,26399.0,25200.0,19200.0,0.0,18000.0,0.0,1,0.0,0.0,15,"Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Thel,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity",2.0
09:05:2013,45601.0,1200.0,36000.0,0.0,0.0,0.0,3,0.0,10500.0,15,"Dartmouth College,0,Sudikoff Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College",3.0
10:04:2013,26399.0,26400.0,7200.0,0.0,43201.0,0.0,2,0.0,3900.0,15,"Sigma Alpha Epsilon Fraternity,Winfred-Raven House,Thel,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Thel,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Thel,Richardson Hall,Thel,Richardson Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity",
10:05:2013,20397.0,0.0,0.0,150691.0,1203.0,0.0,4,1.0,3000.0,15,"Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Hopkins Center for the Arts,Hood Museum of Art",
11:04:2013,38400.0,12000.0,1200.0,0.0,15600.0,0.0,3,1.0,10500.0,15,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Rollins Chapel,Wheeler Hall,Rollins Chapel,Wheeler Hall,Rollins Chapel,Wheeler Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Wilder Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",2.0
11:05:2013,0.0,0.0,27600.0,0.0,0.0,0.0,5,0.0,0.0,15,Sudikoff Hall,
12:04:2013,36000.0,24000.0,7200.0,0.0,32400.0,0.0,4,0.0,3000.0,15,"Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Thel,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",2.0
12:05:2013,12882.0,0.0,16800.0,29118.0,7200.0,0.0,-1,0.0,0.0,15,"Sigma Alpha Epsilon Fraternity,Wilder Hall,Sigma Alpha Epsilon Fraternity,Berry Library,Wheeler Hall,Richardson Hall,Wheeler Hall,Wilder Hall",
13:04:2013,0.0,43184.0,18000.0,0.0,23197.0,0.0,5,0.0,0.0,15,"Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Thel,Sudikoff Hall",2.0
