date,home_time,orthers,school_time,travel_time,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,4800.0,56400.0,3600.0,4800.0,0.0,0.0,0.0,0.0,3900.0,16.0,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College",1.0
01:05:2013,429628.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10500.0,16.0,"Dartmouth College,Dartmouth College",
02:04:2013,113831.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
03:04:2013,45601.0,0.0,7200.0,4800.0,0.0,0.0,2.0,1.0,10500.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College",3.0
04:04:2013,102352.0,0.0,0.0,0.0,8875.0,0.0,3.0,1.0,6900.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ivy Lane,Dartmouth College,Dartmouth College,Dartmouth College",
05:04:2013,40800.0,0.0,218945.0,0.0,0.0,0.0,4.0,0.0,3000.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",1.0
05:05:2013,10805.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,16.0,Dartmouth College,
06:05:2013,52799.0,0.0,20401.0,3601.0,0.0,0.0,0.0,0.0,3900.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,0,0,Vail",
07:05:2013,112588.0,0.0,2444.0,2400.0,0.0,1199.0,1.0,1.0,6600.0,16.0,"Hood Museum of Art,East Wheelock Street,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",
08:04:2013,46800.0,0.0,7200.0,6000.0,0.0,0.0,0.0,0.0,3900.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,Dartmouth College",
08:05:2013,69055.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10500.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College",
09:04:2013,75602.0,0.0,3600.0,4800.0,0.0,2399.0,1.0,1.0,6600.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,0,0",1.0
09:05:2013,147750.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
10:04:2013,74397.0,0.0,6002.0,6000.0,0.0,0.0,2.0,1.0,10500.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College",
10:05:2013,9599.0,0.0,1199.0,0.0,0.0,0.0,4.0,1.0,3000.0,16.0,"Life Sciences Greenhouse,Dartmouth College,Robinson Hall",
11:04:2013,161055.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
11:05:2013,243733.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,"Dartmouth College,Dartmouth College",
12:04:2013,0.0,0.0,0.0,103987.0,0.0,0.0,4.0,1.0,3000.0,16.0,"0,0,0,0",
13:05:2013,13200.0,0.0,4800.0,4799.0,0.0,0.0,0.0,0.0,3900.0,16.0,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,0,0,Dartmouth College",
14:04:2013,79200.0,0.0,0.0,2399.0,0.0,0.0,-1.0,0.0,0.0,16.0,"Ledyard Parking Lot,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College",
14:05:2013,67200.0,0.0,12000.0,0.0,0.0,0.0,1.0,0.0,6600.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College",
15:04:2013,46800.0,1200.0,8400.0,13200.0,0.0,15600.0,0.0,0.0,3900.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Baker Memorial Library,0,Dartmouth College,Dartmouth College,Thel,Dartmouth College,Dartmouth College,0,Dartmouth College,0,Dartmouth College,0,Baker Memorial Library,Dartmouth College,Dartmouth College,Ledyard Parking Lot,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College",
15:05:2013,76803.0,0.0,3604.0,0.0,0.0,5996.0,2.0,1.0,10500.0,16.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
16:04:2013,62404.0,0.0,9596.0,14401.0,0.0,0.0,1.0,0.0,6600.0,16.0,"Dartmouth College,Ledyard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Anonymous Hall,0,0",
16:05:2013,869067.0,0.0,0.0,0.0,0.0,2400.0,3.0,1.0,6900.0,16.0,"Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College",
17:04:2013,71191.0,0.0,7204.0,2404.0,0.0,4795.0,2.0,1.0,10500.0,16.0,"Floren Varsity House,Floren Varsity House,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College",1.0
18:04:2013,83597.0,0.0,3605.0,0.0,0.0,0.0,3.0,1.0,6900.0,16.0,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",
19:04:2013,73121.0,0.0,3600.0,4799.0,0.0,4801.0,4.0,0.0,3000.0,16.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0,Dartmouth College",
20:04:2013,196074.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,"Dartmouth College,Dartmouth College",
22:04:2013,37201.0,0.0,24003.0,3600.0,0.0,0.0,0.0,0.0,3900.0,16.0,"Sudikoff Hall,Dartmouth College,Thornton Hall,Thornton Hall,Vail,Vail,0,0,Anonymous Hall,Dartmouth College",
23:04:2013,56401.0,0.0,24000.0,4799.0,0.0,0.0,1.0,0.0,6600.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth Hall,Dartmouth College,Dana Circle Parking Lot,0,0",
