date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,75601.0,4799.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",2.5
01:05:2013,82800.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",
01:06:2013,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,Dartmouth College,
02:04:2013,86403.0,0.0,1198.0,0.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Hanover Post Office,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College",4.0
02:05:2013,84000.0,0.0,0.0,1200.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse",1.0
03:04:2013,62398.0,16806.0,0.0,5998.0,0.0,0.0,2.0,0.0,14400.0,11.0,"Berry Library,Carpenter Hall,Berry Library,Carpenter Hall,Berry Library,Carpenter Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",3.0
03:05:2013,86400.0,1200.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Carpenter Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",1.0
04:04:2013,71999.0,3600.0,0.0,9601.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",2.5
04:05:2013,96000.0,3600.0,0.0,2400.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
05:04:2013,66000.0,20400.0,0.0,1200.0,0.0,0.0,4.0,0.0,6000.0,11.0,"Carpenter Hall,Carpenter Hall,Guarini Institute for International Education,Carpenter Hall,Berry Library,Carpenter Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.1666666666666667
05:05:2013,72000.0,1200.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Sudikoff Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
06:04:2013,75602.0,13197.0,0.0,3601.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Carpenter Hall,Berry Library,Carpenter Hall,Carpenter Hall,Berry Library,Carpenter Hall,Carpenter Hall,Berry Library,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",3.5
06:05:2013,74400.0,1200.0,0.0,6000.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",
07:04:2013,72000.0,9600.0,0.0,3600.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Carpenter Hall,Berry Library,Carpenter Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
07:05:2013,91199.0,1200.0,0.0,8401.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Dartmouth College",
08:04:2013,70800.0,8400.0,0.0,1200.0,0.0,0.0,0.0,0.0,7800.0,11.0,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.6
08:05:2013,70800.0,0.0,0.0,1200.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
09:04:2013,74402.0,4802.0,0.0,5996.0,1200.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sudikoff Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,G Lot Parking,Sudikoff Hall",3.5
09:05:2013,74403.0,7197.0,0.0,9601.0,0.0,0.0,3.0,0.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College",1.0
10:04:2013,80402.0,6000.0,0.0,1198.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",2.0
10:05:2013,79200.0,2399.0,0.0,1200.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Vail,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",
11:04:2013,80400.0,0.0,0.0,4800.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse",2.0
11:05:2013,66001.0,12000.0,0.0,15434.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College",
12:04:2013,84000.0,2400.0,0.0,1200.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Carpenter Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",2.0
12:05:2013,81600.0,4799.0,0.0,13200.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College",
