date,home_time,school_time,orthers,recreational_activities,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,78000.0,8400.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",1.0
02:04:2013,70799.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
02:05:2013,14403.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse",2.0
03:04:2013,76910.0,7199.0,1200.0,1091.0,0.0,2.0,1.0,10500.0,19.0,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College,Dartmouth College",1.5
03:05:2013,73201.0,6001.0,0.0,3597.0,3599.0,4.0,0.0,3000.0,19.0,"Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall",1.0
04:04:2013,151201.0,0.0,2400.0,3599.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College",1.3333333333333333
04:05:2013,87600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College",1.0
05:04:2013,7201.0,7200.0,0.0,0.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",1.5
05:05:2013,158399.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Dartmouth College",1.0
06:04:2013,240288.0,0.0,0.0,2400.0,0.0,5.0,0.0,0.0,19.0,"Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College",2.0
06:05:2013,100801.0,0.0,0.0,2399.0,0.0,0.0,1.0,3900.0,19.0,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College",1.0
08:04:2013,27600.0,7200.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",2.0
08:05:2013,75547.0,7269.0,0.0,0.0,0.0,2.0,1.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall",2.6666666666666665
09:04:2013,78000.0,0.0,0.0,7200.0,0.0,1.0,1.0,6600.0,19.0,"Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",1.25
