date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
01:04:2013,86405.0,2399.0,4800.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
01:06:2013,13199.0,0.0,3600.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,"Dartmouth College,Dartmouth College,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall",
02:04:2013,74397.0,0.0,4799.0,0.0,0.0,0.0,1.0,0.0,3900.0,23.0,"Dartmouth College,Dartmouth College,North Massachusetts Hall,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",1.0
03:04:2013,66003.0,5999.0,12000.0,3598.0,0.0,0.0,2.0,0.0,11700.0,23.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center",4.0
04:04:2013,72000.0,0.0,9482.0,0.0,3718.0,0.0,3.0,0.0,7800.0,23.0,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",2.0
04:05:2013,168055.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,North Massachusetts Hall,
05:04:2013,80400.0,4800.0,1200.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",1.0
06:04:2013,94752.0,0.0,2403.0,0.0,1247.0,0.0,5.0,0.0,0.0,23.0,"Dartmouth College,Dartmouth College,Byrne Dining Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",1.0
06:05:2013,174487.0,4799.0,3599.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,Carson Hall,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall",4.0
07:04:2013,92177.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"Whittemore Hall,Whittemore Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",5.0
08:04:2013,56404.0,3600.0,8398.0,0.0,0.0,1196.0,0.0,0.0,11700.0,23.0,"Thornton Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Beta Alpha Omega,Goldstein Hall,Goldstein Hall,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center",4.5
08:05:2013,100800.0,3600.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall",
09:04:2013,75600.0,0.0,8401.0,1199.0,0.0,0.0,1.0,0.0,3900.0,23.0,"Haldeman Center,Blunt Alumni Center Parking Lot,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",4.0
09:05:2013,62400.0,1200.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,"Berry Library,Dartmouth College,North Massachusetts Hall",
10:04:2013,56401.0,8400.0,21599.0,1200.0,0.0,0.0,2.0,0.0,11700.0,23.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Blunt Alumni Center Parking Lot,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center",4.0
10:05:2013,87903.0,2400.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,"Dartmouth College,Alumni Gymnasium,North Massachusetts Hall",
11:04:2013,73202.0,3599.0,6000.0,0.0,1199.0,1200.0,3.0,0.0,7800.0,23.0,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Coldwell Banker,Sigma Delta,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College",2.5
11:05:2013,166926.0,1199.0,0.0,0.0,0.0,2400.0,5.0,0.0,0.0,23.0,"North Massachusetts Hall,Hopkins Center for the Arts,Dartmouth College,Bones Gate,North Massachusetts Hall,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",
12:04:2013,67200.0,9600.0,10800.0,0.0,0.0,0.0,4.0,0.0,9000.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,Collis Student Center,Collis Student Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Haldeman Center",2.5
13:04:2013,64800.0,8400.0,9600.0,0.0,2400.0,0.0,5.0,0.0,0.0,23.0,"Haldeman Center,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,0,Brace Commons,Collis Student Center,Dartmouth College,Dartmouth College,North Massachusetts Hall,Class of 1953 Commons",2.5
13:05:2013,98402.0,3599.0,0.0,3600.0,0.0,0.0,0.0,1.0,11700.0,23.0,"Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Six South Street,South Block Parking Garage,South Block Parking Garage,North Massachusetts Hall",
14:04:2013,84000.0,0.0,3600.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,South Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",1.5
14:05:2013,56400.0,0.0,3601.0,0.0,0.0,0.0,1.0,0.0,3900.0,23.0,"Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons",
15:04:2013,77998.0,2402.0,6000.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,0,North Massachusetts Hall,Collis Student Center,North Massachusetts Hall,Haldeman Center",1.0
15:05:2013,84400.0,2400.0,1200.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,McNutt Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College",
16:04:2013,86400.0,0.0,6000.0,0.0,0.0,0.0,1.0,0.0,3900.0,23.0,"Haldeman Center,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",1.0
16:05:2013,82800.0,0.0,3600.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,"McNutt Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall,Class of 1953 Commons",1.0
17:04:2013,69601.0,6000.0,3599.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Topliff Hall,Collis Student Center,Collis Student Center,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons",1.0
17:05:2013,96751.0,7199.0,1200.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Berry Library,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",
18:04:2013,78000.0,0.0,9600.0,0.0,0.0,0.0,3.0,0.0,7800.0,23.0,"Class of 1953 Commons,North Massachusetts Hall,Middle Massachusetts Hall,Class of 1953 Commons,North Massachusetts Hall,Life Sciences Greenhouse",1.0
18:05:2013,67200.0,0.0,1199.0,8343.0,0.0,0.0,5.0,0.0,0.0,23.0,"Dartmouth College,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,South Block Parking Garage,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,North Massachusetts Hall",
19:04:2013,71248.0,8496.0,6000.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,Collis Student Center,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Wheeler Hall,0,Dartmouth College,Wheeler Hall,Ripley Hall,Class of 1953 Commons",4.0
19:05:2013,92317.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"Dartmouth College,North Massachusetts Hall,Dartmouth College",
20:04:2013,76800.0,0.0,7200.0,20400.0,0.0,0.0,5.0,0.0,0.0,23.0,"Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Sudikoff Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,Blunt Alumni Center Parking Lot",1.0
20:05:2013,94090.0,7201.0,2400.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall",
21:04:2013,61200.0,2400.0,4800.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"Collis Student Center,Collis Student Center,North Massachusetts Hall,Berry Library,Berry Library,Dartmouth College,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons",
21:05:2013,58327.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3900.0,23.0,"Dartmouth College,North Massachusetts Hall",
22:04:2013,63600.0,2400.0,21565.0,0.0,0.0,0.0,0.0,0.0,11700.0,23.0,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Dartmouth College,Dartmouth College,Haldeman Center",
22:05:2013,97444.0,2400.0,0.0,0.0,1243.0,0.0,2.0,1.0,11700.0,23.0,"Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,0,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall",
23:04:2013,81600.0,0.0,3635.0,0.0,0.0,0.0,1.0,0.0,3900.0,23.0,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall",4.0
23:05:2013,54000.0,1200.0,9600.0,3600.0,0.0,0.0,3.0,0.0,7800.0,23.0,"Class of 1953 Commons,Berry Library,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,0",4.0
24:04:2013,97200.0,1200.0,6000.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"Haldeman Center,Haldeman Center,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Topliff Hall,North Massachusetts Hall,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall",
24:05:2013,103200.0,2400.0,1200.0,0.0,1200.0,0.0,4.0,1.0,9000.0,23.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,North Massachusetts Hall,North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,0,North Massachusetts Hall",
25:04:2013,63516.0,0.0,3600.0,0.0,1200.0,0.0,3.0,1.0,7800.0,23.0,"0,North Massachusetts Hall,Class of 1953 Commons,Collis Student Center",
25:05:2013,173976.0,0.0,4800.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall",
26:04:2013,696010.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,North Massachusetts Hall,
27:03:2013,7198.0,0.0,4800.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Haldeman Center",1.0
27:05:2013,34824.0,20349.0,1195.0,0.0,0.0,0.0,0.0,1.0,11700.0,23.0,"Berry Library,North Massachusetts Hall,Class of 1953 Commons,South Massachusetts Hall",
28:03:2013,76802.0,1199.0,7200.0,0.0,0.0,0.0,3.0,0.0,7800.0,23.0,"Haldeman Center,Class of 1953 Commons,Dartmouth College,Hopkins Center for the Arts,North Massachusetts Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",3.75
28:05:2013,34672.0,30040.0,3664.0,0.0,0.0,17996.0,1.0,0.0,3900.0,23.0,"North Massachusetts Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,0,Class of 1953 Commons,Class of 1953 Commons,North Massachusetts Hall,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College",
29:03:2013,61199.0,0.0,26400.0,0.0,0.0,0.0,4.0,0.0,9000.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Haldeman Center",2.5
29:05:2013,152528.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11700.0,23.0,Dartmouth College,
30:03:2013,76228.0,0.0,4800.0,0.0,4172.0,0.0,5.0,0.0,0.0,23.0,"Haldeman Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,0,North Massachusetts Hall",2.0
30:05:2013,40800.0,0.0,1200.0,0.0,0.0,0.0,3.0,1.0,7800.0,23.0,"Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Massachusetts Hall",
31:03:2013,62400.0,10800.0,13200.0,0.0,0.0,0.0,-1.0,0.0,0.0,23.0,"Class of 1953 Commons,Class of 1953 Commons,0,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",2.25
31:05:2013,72847.0,0.0,3563.0,0.0,0.0,0.0,4.0,1.0,9000.0,23.0,"Sudikoff Hall,Sudikoff Hall,Collis Student Center,North Massachusetts Hall",
