date,recreational_activities,home_time,school_time,travel_time,orthers,date_in_week,volunteer,location_names
01:04:2013,62099.0,0.0,0.0,0.0,0.0,0,55,Courtyard Marriott
01:05:2013,0.0,30000.0,32400.0,0.0,0.0,2,55,"0,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,0.0,94186.0,0.0,4831.0,0.0,1,55,"Dartmouth College,McCulloch Hall,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College"
02:05:2013,0.0,70748.0,0.0,0.0,0.0,3,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,0.0,54056.0,14414.0,0.0,0.0,2,55,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College"
03:05:2013,0.0,63618.0,26436.0,0.0,0.0,4,55,"0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0"
04:04:2013,7200.0,69484.0,8516.0,0.0,0.0,3,55,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Dartmouth College,Dartmouth College"
04:05:2013,0.0,91061.0,0.0,0.0,0.0,5,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,2466.0,79446.0,5688.0,0.0,0.0,4,55,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Hopkins Center for the Arts"
05:05:2013,9640.0,72471.0,0.0,0.0,0.0,-1,55,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
