date,home_time,school_time,recreational_activities,travel_time,working,orthers,date_in_week,volunteer
01:04:2013 ,49205.0,4800.0,0.0,0.0,0.0,0.0,0,20
01:05:2013 ,46800.0,0.0,2400.0,0.0,0.0,0.0,2,20
01:06:2013 ,26400.0,3600.0,0.0,0.0,0.0,0.0,5,20
02:04:2013 ,68439.0,4800.0,13199.0,0.0,0.0,0.0,1,20
02:05:2013 ,37200.0,0.0,3602.0,44399.0,0.0,0.0,3,20
03:04:2013 ,61200.0,26400.0,0.0,0.0,0.0,0.0,2,20
03:05:2013 ,66002.0,3599.0,1200.0,1200.0,15600.0,0.0,4,20
04:04:2013 ,73200.0,0.0,13200.0,0.0,0.0,0.0,3,20
04:05:2013 ,246018.0,0.0,0.0,0.0,0.0,0.0,5,20
05:04:2013 ,78000.0,4800.0,2400.0,0.0,0.0,0.0,4,20
06:04:2013 ,64800.0,27600.0,0.0,0.0,0.0,0.0,5,20
06:05:2013 ,10752.0,0.0,2377.0,0.0,0.0,0.0,0,20
07:04:2013 ,43200.0,32400.0,6000.0,0.0,0.0,0.0,-1,20
07:05:2013 ,92454.0,0.0,2420.0,0.0,0.0,0.0,1,20
08:04:2013 ,61200.0,22800.0,2400.0,0.0,0.0,0.0,0,20
08:05:2013 ,72057.0,2305.0,3525.0,0.0,0.0,0.0,2,20
09:04:2013 ,73200.0,9600.0,0.0,2400.0,0.0,0.0,1,20
09:05:2013 ,68590.0,0.0,10707.0,0.0,5963.0,0.0,3,20
10:04:2013 ,64800.0,19200.0,3600.0,0.0,0.0,0.0,2,20
10:05:2013 ,71055.0,13083.0,3502.0,0.0,0.0,0.0,4,20
11:04:2013 ,78000.0,2400.0,4800.0,0.0,0.0,0.0,3,20
11:05:2013 ,90073.0,0.0,1140.0,0.0,0.0,0.0,5,20
12:04:2013 ,58800.0,26400.0,2400.0,0.0,0.0,0.0,4,20
12:05:2013 ,78000.0,9600.0,3600.0,0.0,0.0,0.0,-1,20
13:04:2013 ,84008.0,0.0,2400.0,0.0,0.0,0.0,5,20
13:05:2013 ,75600.0,0.0,1200.0,0.0,0.0,0.0,0,20
14:04:2013 ,54652.0,1200.0,16799.0,12549.0,0.0,0.0,-1,20
14:05:2013 ,76800.0,0.0,8400.0,0.0,0.0,0.0,1,20
15:04:2013 ,61200.0,16800.0,2401.0,4800.0,0.0,2399.0,0,20
15:05:2013 ,81600.0,0.0,7200.0,0.0,0.0,0.0,2,20
16:04:2013 ,84000.0,0.0,1200.0,0.0,0.0,0.0,1,20
16:05:2013 ,80399.0,2401.0,1200.0,0.0,0.0,0.0,3,20
17:04:2013 ,68401.0,10800.0,8399.0,0.0,0.0,0.0,2,20
17:05:2013 ,73200.0,0.0,14400.0,0.0,0.0,0.0,4,20
18:04:2013 ,79201.0,3600.0,2399.0,0.0,0.0,0.0,3,20
18:05:2013 ,98401.0,0.0,0.0,0.0,0.0,0.0,5,20
19:04:2013 ,69600.0,12000.0,6000.0,0.0,0.0,0.0,4,20
19:05:2013 ,64799.0,9599.0,1201.0,0.0,0.0,0.0,-1,20
20:04:2013 ,184800.0,1200.0,1200.0,0.0,1200.0,0.0,5,20
20:05:2013 ,65998.0,0.0,19202.0,0.0,0.0,0.0,0,20
21:05:2013 ,78002.0,0.0,7198.0,0.0,0.0,0.0,1,20
22:04:2013 ,58800.0,0.0,12000.0,0.0,0.0,0.0,0,20
22:05:2013 ,90000.0,0.0,0.0,0.0,0.0,0.0,2,20
23:04:2013 ,84000.0,0.0,1200.0,0.0,0.0,0.0,1,20
23:05:2013 ,78000.0,0.0,4801.0,0.0,0.0,0.0,3,20
24:04:2013 ,94852.0,8400.0,14348.0,0.0,0.0,0.0,2,20
24:05:2013 ,91469.0,0.0,0.0,0.0,0.0,0.0,4,20
25:04:2013 ,50506.0,2311.0,2383.0,0.0,1200.0,0.0,3,20
25:05:2013 ,73201.0,0.0,10799.0,0.0,0.0,0.0,5,20
26:04:2013 ,66003.0,4800.0,15523.0,0.0,0.0,0.0,4,20
26:05:2013 ,88800.0,0.0,0.0,0.0,0.0,0.0,-1,20
27:03:2013 ,43201.0,1200.0,2399.0,0.0,0.0,0.0,2,20
27:04:2013 ,97141.0,0.0,1220.0,0.0,0.0,0.0,5,20
27:05:2013 ,81600.0,0.0,0.0,0.0,0.0,0.0,0,20
28:03:2013 ,52797.0,32402.0,1201.0,0.0,0.0,0.0,3,20
28:04:2013 ,92633.0,0.0,2283.0,0.0,0.0,0.0,-1,20
28:05:2013 ,76200.0,0.0,10212.0,0.0,0.0,0.0,1,20
29:03:2013 ,54003.0,10799.0,22798.0,0.0,0.0,0.0,4,20
29:04:2013 ,48005.0,14334.0,3662.0,0.0,0.0,0.0,0,20
29:05:2013 ,85201.0,0.0,2399.0,0.0,0.0,0.0,2,20
30:03:2013 ,64511.0,19200.0,7198.0,0.0,0.0,0.0,5,20
30:04:2013 ,122432.0,1169.0,0.0,0.0,0.0,0.0,1,20
30:05:2013 ,155537.0,3596.0,2401.0,0.0,0.0,0.0,3,20
31:03:2013 ,110475.0,1200.0,1198.0,0.0,0.0,0.0,-1,20
31:05:2013 ,9600.0,0.0,0.0,0.0,0.0,0.0,4,20
