date,home_time,school_time,travel_time,recreational_activities,date_in_week,volunteer,location_names
01:04:2013,110389.0,3608.0,1203.0,0.0,0,24,"0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Dartmouth College,0"
01:05:2013,96320.0,0.0,1200.0,0.0,2,24,"0,Vail Dartmouth Medical School,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
02:05:2013,214800.0,0.0,0.0,0.0,3,24,"0,Dartmouth College,Dartmouth College,0"
03:04:2013,140381.0,0.0,0.0,0.0,2,24,"0,Dartmouth College,Dartmouth College,0,0,0,0,0"
04:04:2013,82801.0,3600.0,0.0,0.0,3,24,"0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,0"
05:04:2013,116399.0,3600.0,1200.0,0.0,4,24,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,0"
05:05:2013,447602.0,0.0,0.0,0.0,-1,24,"0,0,0"
07:04:2013,138708.0,0.0,0.0,0.0,-1,24,"0,Dartmouth College,Dartmouth College,0"
08:04:2013,148800.0,21600.0,1200.0,0.0,0,24,"0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
10:04:2013,169272.0,3528.0,0.0,0.0,2,24,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0"
10:05:2013,97198.0,0.0,0.0,0.0,4,24,"0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
11:05:2013,37201.0,1200.0,0.0,0.0,5,24,"0,0,0,0,Dartmouth College,Dartmouth College"
12:04:2013,34799.0,2401.0,0.0,0.0,4,24,"0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0,0,0,0,Dartmouth College,0,Dartmouth College"
12:05:2013,43200.0,0.0,0.0,2399.0,-1,24,"Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,0"
13:04:2013,672000.0,0.0,0.0,0.0,5,24,"Dartmouth College,0"
20:04:2013,69600.0,0.0,0.0,0.0,5,24,"0,Bildner Hall,Dartmouth College,Dartmouth College,0,0,0,0"
21:04:2013,85200.0,0.0,0.0,0.0,-1,24,"0,0,0,0,0,0,Dartmouth College,Dartmouth College,0,0"
22:04:2013,94800.0,0.0,0.0,1200.0,0,24,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Baker Memorial Library,0"
23:04:2013,28800.0,0.0,0.0,0.0,1,24,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:04:2013,314400.0,0.0,0.0,0.0,2,24,0
27:04:2013,25200.0,0.0,0.0,0.0,5,24,"0,Dartmouth College,Dartmouth College"
28:03:2013,82800.0,4800.0,0.0,0.0,3,24,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,98343.0,0.0,0.0,0.0,-1,24,"0,0"
29:03:2013,91200.0,3600.0,0.0,0.0,4,24,"0,0,0,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
29:04:2013,102057.0,0.0,0.0,0.0,0,24,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse"
30:03:2013,223200.0,0.0,0.0,0.0,5,24,"0,Dartmouth College,Dartmouth College,0"
30:04:2013,112801.0,0.0,0.0,0.0,1,24,0
