date,home_time,school_time,orthers,travel_time,shopping,recreational_activities,working,date_in_week,volunteer,location_names
01:04:2013,43200.0,15601.0,0.0,0.0,0.0,0.0,0.0,0,57,"0,0,0,Moore Psychology Building"
01:05:2013,58801.0,15600.0,0.0,0.0,0.0,0.0,0.0,2,57,"Moore Psychology Building,0,0,Dartmouth College"
01:06:2013,0.0,9600.0,1200.0,14400.0,0.0,0.0,0.0,5,57,"Maynard Parking Lot,Moore Psychology Building,0,0"
02:04:2013,0.0,1199.0,0.0,0.0,82800.0,0.0,0.0,1,57,"Moore Psychology Building,Hanover Park"
02:05:2013,53999.0,45602.0,0.0,0.0,0.0,0.0,0.0,3,57,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building"
03:04:2013,85221.0,26402.0,0.0,0.0,0.0,0.0,0.0,2,57,"Moore Psychology Building,Moore Psychology Building,0,0"
03:05:2013,1198.0,43204.0,50400.0,1200.0,0.0,0.0,0.0,4,57,"Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Nugget Arcade,0,Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building"
04:04:2013,9600.0,1036.0,42000.0,0.0,0.0,0.0,0.0,3,57,"0,0,Sanborn House"
04:05:2013,49983.0,3598.0,0.0,0.0,0.0,9615.0,0.0,5,57,"Moore Psychology Building,0,0,0,Hood Museum of Art,0,0"
05:04:2013,37202.0,44076.0,2563.0,0.0,0.0,6002.0,0.0,4,57,"0,Boloco,Moore Psychology Building,Moore Psychology Building,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Moore Psychology Building,Moore Psychology Building,Hanover Inn Dartmouth,Big Green Real Estate,0,0,Moore Psychology Building,Moore Psychology Building"
05:05:2013,88606.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,57,0
06:04:2013,0.0,245999.0,0.0,0.0,0.0,0.0,0.0,5,57,Sudikoff Hall
06:05:2013,77997.0,1224.0,0.0,4798.0,0.0,0.0,0.0,0,57,"0,0,0,Moore Psychology Building,0,South Block Parking Garage,South Block Parking Garage"
07:05:2013,43609.0,54044.0,0.0,2641.0,0.0,0.0,0.0,1,57,"Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot,0,0,Moore Psychology Building"
08:04:2013,34805.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57,0
08:05:2013,0.0,496190.0,0.0,0.0,0.0,0.0,0.0,2,57,Moore Psychology Building
09:04:2013,38399.0,20392.0,0.0,1204.0,0.0,4802.0,0.0,1,57,"Moore Psychology Building,0,0,Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building,Berry Library"
10:04:2013,52800.0,27602.0,1198.0,6000.0,0.0,1198.0,0.0,2,57,"Berry Library,Native American House Parking Lot,Moore Psychology Building,Rockefeller Center,Rockefeller Center,Moore Psychology Building,Moore Psychology Building,Emerson House,0,0,Moore Psychology Building"
11:04:2013,136800.0,16801.0,3600.0,1199.0,0.0,0.0,0.0,3,57,"Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Emerson House,0,0,0,Emerson House,0"
12:04:2013,2400.0,33600.0,0.0,0.0,0.0,0.0,0.0,4,57,"0,Moore Psychology Building"
13:04:2013,61202.0,1200.0,2400.0,0.0,0.0,0.0,0.0,5,57,"Moore Psychology Building,Dartmouth College,0,0"
13:05:2013,0.0,21600.0,0.0,1200.0,0.0,1198.0,0.0,0,57,"Hopkins Center for the Arts,0,Moore Psychology Building"
14:04:2013,158400.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,57,0
14:05:2013,55200.0,32400.0,0.0,0.0,0.0,0.0,0.0,1,57,"Moore Psychology Building,0,0,Dartmouth College,Moore Psychology Building"
15:04:2013,1200.0,10800.0,0.0,0.0,0.0,0.0,0.0,0,57,"0,Moore Psychology Building"
15:05:2013,44400.0,9600.0,0.0,14400.0,0.0,0.0,0.0,2,57,"Moore Psychology Building,Native American House Parking Lot,0,0,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Collis Student Center,Moore Psychology Building"
16:04:2013,53999.0,28801.0,0.0,0.0,0.0,0.0,0.0,1,57,"Moore Psychology Building,Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building"
16:05:2013,51600.0,44401.0,0.0,11999.0,0.0,0.0,0.0,3,57,"Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot,Native American House,Moore Psychology Building,Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building"
17:04:2013,54000.0,38392.0,0.0,1200.0,0.0,8.0,0.0,2,57,"Hanover Inn Dartmouth,Collis Student Center,Native American House Parking Lot,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building"
17:05:2013,49200.0,24001.0,0.0,0.0,0.0,1199.0,1200.0,4,57,"Moore Psychology Building,Dartmouth College,Phi Tau,0,0,0,Moore Psychology Building"
18:04:2013,43200.0,45600.0,8401.0,2400.0,3599.0,0.0,0.0,3,57,"Moore Psychology Building,Native American House Parking Lot,Native American House Parking Lot,Moore Psychology Building,0,0,Hanover Park,0,0,Moore Psychology Building"
18:05:2013,94800.0,1200.0,0.0,0.0,0.0,0.0,0.0,5,57,"Moore Psychology Building,0"
19:04:2013,33599.0,10806.0,0.0,0.0,0.0,17998.0,0.0,4,57,"Moore Psychology Building,Berry Library,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,0,0,Moore Psychology Building,Hanover Inn Dartmouth,Moore Psychology Building,Moore Psychology Building"
19:05:2013,85605.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,57,0
20:04:2013,3597.0,14400.0,0.0,98400.0,0.0,0.0,0.0,5,57,"Dartmouth College,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot"
20:05:2013,57600.0,22800.0,0.0,0.0,0.0,0.0,0.0,0,57,"0,0,Moore Psychology Building"
21:04:2013,135477.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,57,0
