date,home_time,orthers,school_time,travel_time,recreational_activities,shopping,date_in_week,volunteer
01:04:2013 ,19200.0,16796.0,1200.0,38400.0,0.0,0.0,0,32
01:05:2013 ,85199.0,0.0,0.0,0.0,0.0,0.0,2,32
02:04:2013 ,82880.0,2343.0,0.0,9577.0,0.0,0.0,1,32
02:05:2013 ,41896.0,40903.0,0.0,4801.0,0.0,0.0,3,32
03:04:2013 ,39600.0,0.0,0.0,40800.0,0.0,0.0,2,32
03:05:2013 ,77028.0,0.0,42082.0,0.0,0.0,0.0,4,32
04:04:2013 ,42649.0,0.0,4160.0,37191.0,0.0,0.0,3,32
04:05:2013 ,90000.0,0.0,0.0,0.0,0.0,0.0,5,32
05:04:2013 ,55200.0,0.0,3600.0,27600.0,0.0,0.0,4,32
05:05:2013 ,101981.0,0.0,0.0,0.0,0.0,0.0,-1,32
06:04:2013 ,61200.0,0.0,0.0,30328.0,0.0,0.0,5,32
06:05:2013 ,32431.0,0.0,0.0,0.0,0.0,0.0,0,32
07:04:2013 ,55201.0,2399.0,0.0,18000.0,2400.0,2400.0,-1,32
07:05:2013 ,86400.0,0.0,0.0,0.0,0.0,0.0,1,32
08:04:2013 ,58879.0,0.0,1200.0,25121.0,0.0,1520.0,0,32
08:05:2013 ,43200.0,0.0,0.0,43200.0,0.0,0.0,2,32
09:04:2013 ,50703.0,0.0,0.0,34955.0,0.0,2052.0,1,32
09:05:2013 ,93964.0,0.0,0.0,3181.0,0.0,0.0,3,32
10:04:2013 ,46350.0,0.0,2400.0,36450.0,0.0,0.0,2,32
10:05:2013 ,91240.0,0.0,0.0,1200.0,0.0,1201.0,4,32
11:04:2013 ,85303.0,0.0,1097.0,0.0,0.0,0.0,3,32
11:05:2013 ,143383.0,0.0,0.0,0.0,0.0,0.0,5,32
12:04:2013 ,62377.0,0.0,0.0,24492.0,0.0,0.0,4,32
12:05:2013 ,11417.0,0.0,0.0,0.0,0.0,0.0,-1,32
13:04:2013 ,85223.0,0.0,0.0,1200.0,0.0,0.0,5,32
13:05:2013 ,80996.0,0.0,0.0,0.0,0.0,10800.0,0,32
14:04:2013 ,51600.0,34800.0,0.0,0.0,0.0,0.0,-1,32
14:05:2013 ,64560.0,19259.0,0.0,0.0,0.0,0.0,1,32
15:04:2013 ,64863.0,0.0,0.0,25137.0,0.0,0.0,0,32
15:05:2013 ,75600.0,0.0,0.0,0.0,0.0,96000.0,2,32
16:04:2013 ,69600.0,0.0,0.0,14400.0,0.0,0.0,1,32
17:04:2013 ,54000.0,0.0,0.0,38400.0,0.0,0.0,2,32
17:05:2013 ,9600.0,0.0,0.0,0.0,0.0,94941.0,4,32
18:04:2013 ,48000.0,0.0,0.0,1200.0,0.0,30000.0,3,32
18:05:2013 ,78000.0,0.0,0.0,0.0,0.0,0.0,5,32
19:04:2013 ,84016.0,0.0,0.0,1200.0,0.0,1184.0,4,32
19:05:2013 ,89859.0,0.0,0.0,0.0,0.0,0.0,-1,32
20:04:2013 ,57600.0,0.0,0.0,35768.0,0.0,0.0,5,32
20:05:2013 ,0.0,75600.0,0.0,0.0,0.0,0.0,0,32
21:04:2013 ,85432.0,0.0,0.0,0.0,0.0,0.0,-1,32
21:05:2013 ,58801.0,6321.0,0.0,14400.0,3599.0,0.0,1,32
22:04:2013 ,79200.0,0.0,0.0,1200.0,0.0,0.0,0,32
22:05:2013 ,61200.0,26509.0,0.0,0.0,0.0,1091.0,2,32
23:04:2013 ,98467.0,0.0,1133.0,1200.0,0.0,1200.0,1,32
23:05:2013 ,84640.0,0.0,0.0,0.0,0.0,0.0,3,32
24:04:2013 ,86400.0,0.0,0.0,0.0,0.0,8400.0,2,32
24:05:2013 ,107223.0,0.0,0.0,0.0,0.0,0.0,4,32
25:04:2013 ,63600.0,0.0,0.0,0.0,0.0,0.0,3,32
25:05:2013 ,137708.0,0.0,0.0,3000.0,0.0,0.0,5,32
26:04:2013 ,102097.0,0.0,1198.0,3505.0,0.0,0.0,4,32
26:05:2013 ,251455.0,0.0,0.0,0.0,0.0,0.0,-1,32
27:04:2013 ,0.0,0.0,0.0,4801.0,0.0,79199.0,5,32
28:03:2013 ,49194.0,0.0,0.0,34800.0,0.0,0.0,3,32
28:04:2013 ,43201.0,0.0,0.0,33600.0,0.0,0.0,-1,32
29:03:2013 ,69600.0,2400.0,1200.0,13198.0,0.0,0.0,4,32
29:04:2013 ,78001.0,0.0,0.0,0.0,0.0,0.0,0,32
29:05:2013 ,0.0,0.0,0.0,0.0,0.0,0.0,2,32
30:03:2013 ,40807.0,0.0,0.0,50393.0,0.0,0.0,5,32
30:04:2013 ,84007.0,0.0,1198.0,0.0,0.0,1196.0,1,32
31:03:2013 ,28800.0,0.0,0.0,63604.0,0.0,0.0,-1,32
