date,home_time,recreational_activities,school_time,orthers,shopping,travel_time,working,date_in_week,volunteer,location_names
01:04:2013,2400.0,4798.0,7203.0,0.0,0.0,0.0,0.0,0,10,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall"
01:05:2013,59973.0,3507.0,19287.0,0.0,0.0,0.0,0.0,2,10,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Parker House,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall"
02:04:2013,81091.0,0.0,4799.0,0.0,0.0,0.0,0.0,1,10,"Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
02:05:2013,74358.0,0.0,10875.0,0.0,0.0,0.0,0.0,3,10,"Dartmouth Hall,Dartmouth College,Dartmouth College,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Anonymous Hall"
03:04:2013,72001.0,0.0,15598.0,0.0,0.0,0.0,0.0,2,10,"Dartmouth College,Dartmouth College,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Wentworth Hall"
03:05:2013,80413.0,0.0,2400.0,3588.0,1199.0,0.0,0.0,4,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Cemetery Lane,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall"
04:04:2013,67015.0,14401.0,3600.0,0.0,0.0,0.0,0.0,3,10,"Wentworth Hall,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,90000.0,13200.0,2400.0,1200.0,0.0,0.0,0.0,5,10,"Wentworth Hall,Reed Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,Dartmouth College,Dartmouth College,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,81106.0,0.0,6000.0,0.0,0.0,0.0,0.0,4,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall"
05:05:2013,81600.0,0.0,0.0,0.0,0.0,1200.0,0.0,-1,10,"63 South Main Street Parking Deck,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,7200.0,3605.0,1200.0,21562.0,0.0,0.0,53999.0,5,10,"Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Rollins Chapel,Alpha Theta,Dartmouth College,Dartmouth College"
